program_name,test_file,usable,llm_test_file,builds,passes,coverage_before,coverage_after,coverage_delta,kept,discard_reason,prompt_mode,RELIABLE,REASON
scrapy_24,test_command_fetch.py,True,test_command_fetch_DEEPSEEK_CORNERCASES.py,True,True,31,32,1,True,,CORNERCASES,True,
scrapy_27,test_command_fetch.py,True,test_command_fetch_DEEPSEEK_CORNERCASES.py,True,True,31,32,1,True,,CORNERCASES,False,"uses undefined variable (UsageError), assertion has wrong input"
thefuck_1,test_logs.py,True,test_logs_DEEPSEEK_CORNERCASES.py,True,True,45,47,2,True,,CORNERCASES,True,
thefuck_2,test_logs.py,True,test_logs_DEEPSEEK_CORNERCASES.py,True,True,45,47,2,True,,CORNERCASES,True,
thefuck_22,test_logs.py,True,test_logs_DEEPSEEK_CORNERCASES.py,True,True,46,55,9,True,,CORNERCASES,False,some tests have no assertions
thefuck_23,test_logs.py,True,test_logs_DEEPSEEK_CORNERCASES.py,True,True,46,57,11,True,,CORNERCASES,True,
thefuck_24,test_logs.py,True,test_logs_DEEPSEEK_CORNERCASES.py,True,True,71,95,24,True,,CORNERCASES,False,some tests have no assertions
thefuck_26,test_logs.py,True,test_logs_DEEPSEEK_CORNERCASES.py,True,True,71,92,21,True,,CORNERCASES,False,some tests have no assertions
thefuck_27,test_logs.py,True,test_logs_DEEPSEEK_CORNERCASES.py,True,True,71,90,19,True,,CORNERCASES,False,last test has no assertions
thefuck_28,test_logs.py,True,test_logs_DEEPSEEK_CORNERCASES.py,True,True,71,83,12,True,,CORNERCASES,False,incorrect expected behavior
thefuck_29,test_logs.py,True,test_logs_DEEPSEEK_CORNERCASES.py,True,True,71,90,19,True,,CORNERCASES,False,some tests have no assertions
thefuck_30,test_logs.py,True,test_logs_DEEPSEEK_CORNERCASES.py,True,True,74,84,10,True,,CORNERCASES,False,incorrect expected behavior
thefuck_32,test_logs.py,True,test_logs_DEEPSEEK_CORNERCASES.py,True,True,74,100,26,True,,CORNERCASES,False,some tests aren't actually verifying behavior
tqdm_5,tests_tqdm.py,True,tests_tqdm_DEEPSEEK_CORNERCASES.py,True,True,70,79,9,True,,CORNERCASES,True,
youtubedl_2,test_age_restriction.py,True,test_age_restriction_DEEPSEEK_CORNERCASES.py,True,True,28,31,3,True,,CORNERCASES,False,some tests aren't actually testing class under test
youtubedl_3,test_age_restriction.py,True,test_age_restriction_DEEPSEEK_CORNERCASES.py,True,True,28,31,3,True,,CORNERCASES,True,
youtubedl_16,test_age_restriction.py,True,test_age_restriction_DEEPSEEK_CORNERCASES.py,True,True,28,29,1,True,,CORNERCASES,True,
youtubedl_24,test_age_restriction.py,True,test_age_restriction_DEEPSEEK_CORNERCASES.py,True,True,29,30,1,True,,CORNERCASES,False,"last test isn't verifying behavior (uses ""assert True"")"
youtubedl_31,test_age_restriction.py,True,test_age_restriction_DEEPSEEK_CORNERCASES.py,True,True,29,31,2,True,,CORNERCASES,False,some tests aren't actually verifying behavior
youtubedl_32,test_age_restriction.py,True,test_age_restriction_DEEPSEEK_CORNERCASES.py,True,True,29,30,1,True,,CORNERCASES,True,
youtubedl_39,test_age_restriction.py,True,test_age_restriction_DEEPSEEK_CORNERCASES.py,True,True,29,30,1,True,,CORNERCASES,True,
youtubedl_40,test_age_restriction.py,True,test_age_restriction_DEEPSEEK_CORNERCASES.py,True,True,26,27,1,True,,CORNERCASES,True,
youtubedl_42,test_age_restriction.py,True,test_age_restriction_DEEPSEEK_CORNERCASES.py,True,True,26,29,3,True,,CORNERCASES,False,one test has no assertions
expression_1,test_expression.py,True,test_expression_DEEPSEEK_TESTCUT.py,True,True,88,90,2,True,,TESTCUT,False,one test (test_complex_expression) has incorrect expected behavior
fastapi_2,test_jsonable_encoder.py,True,test_jsonable_encoder_DEEPSEEK_TESTCUT.py,True,True,44,45,1,True,,TESTCUT,False,last test has incorrect expected behavior
fastapi_4,test_jsonable_encoder.py,True,test_jsonable_encoder_DEEPSEEK_TESTCUT.py,True,True,43,44,1,True,,TESTCUT,True,
fastapi_8,test_jsonable_encoder.py,True,test_jsonable_encoder_DEEPSEEK_TESTCUT.py,True,True,44,46,2,True,,TESTCUT,True,
fastapi_10,test_jsonable_encoder.py,True,test_jsonable_encoder_DEEPSEEK_TESTCUT.py,True,True,44,45,1,True,,TESTCUT,True,
fastapi_12,test_jsonable_encoder.py,True,test_jsonable_encoder_DEEPSEEK_TESTCUT.py,True,True,47,49,2,True,,TESTCUT,True,
fastapi_13,test_jsonable_encoder.py,True,test_jsonable_encoder_DEEPSEEK_TESTCUT.py,True,True,48,50,2,True,,TESTCUT,True,
fastapi_16,test_jsonable_encoder.py,True,test_jsonable_encoder_DEEPSEEK_TESTCUT.py,True,True,50,51,1,True,,TESTCUT,True,
keras_2,test_loss_masking.py,True,test_loss_masking_DEEPSEEK_TESTCUT.py,True,True,7,9,2,True,,TESTCUT,True,
keras_4,test_loss_masking.py,True,test_loss_masking_DEEPSEEK_TESTCUT.py,True,True,7,9,2,True,,TESTCUT,False,incorrect expected behavior
keras_5,test_loss_masking.py,True,test_loss_masking_DEEPSEEK_TESTCUT.py,True,True,7,8,1,True,,TESTCUT,True,
keras_8,test_loss_masking.py,True,test_loss_masking_DEEPSEEK_TESTCUT.py,True,True,7,8,1,True,,TESTCUT,True,
keras_19,test_loss_masking.py,True,test_loss_masking_DEEPSEEK_TESTCUT.py,True,True,7,10,3,True,,TESTCUT,False,duplicate tests
keras_24,test_loss_masking.py,True,test_loss_masking_DEEPSEEK_TESTCUT.py,True,True,7,10,3,True,,TESTCUT,True,
matplotlib_1,test_container.py,True,test_container_DEEPSEEK_TESTCUT.py,True,True,15,16,1,True,,TESTCUT,False,incorrect expected behavior
matplotlib_21,test_container.py,True,test_container_DEEPSEEK_TESTCUT.py,True,True,15,16,1,True,,TESTCUT,False,no assertions
middle_2,test_middle.py,True,test_middle_DEEPSEEK_TESTCUT.py,True,True,96,97,1,True,,TESTCUT,True,
scrapy_24,test_command_fetch.py,True,test_command_fetch_DEEPSEEK_TESTCUT.py,True,True,31,32,1,True,,TESTCUT,False,first two tests are duplicates
scrapy_32,test_command_fetch.py,True,test_command_fetch_DEEPSEEK_TESTCUT.py,True,True,31,33,2,True,,TESTCUT,True,
scrapy_33,test_command_fetch.py,True,test_command_fetch_DEEPSEEK_TESTCUT.py,True,True,31,33,2,True,,TESTCUT,True,
thefuck_1,test_logs.py,True,test_logs_DEEPSEEK_TESTCUT.py,True,True,45,46,1,True,,TESTCUT,True,
thefuck_22,test_logs.py,True,test_logs_DEEPSEEK_TESTCUT.py,True,True,46,58,12,True,,TESTCUT,False,some tests have no assertions
thefuck_23,test_logs.py,True,test_logs_DEEPSEEK_TESTCUT.py,True,True,46,63,17,True,,TESTCUT,True,
thefuck_24,test_logs.py,True,test_logs_DEEPSEEK_TESTCUT.py,True,True,71,92,21,True,,TESTCUT,False,some tests aren't actually verifying behavior
thefuck_25,test_logs.py,True,test_logs_DEEPSEEK_TESTCUT.py,True,True,71,90,19,True,,TESTCUT,False,incorrect assertions
thefuck_27,test_logs.py,True,test_logs_DEEPSEEK_TESTCUT.py,True,True,71,91,20,True,,TESTCUT,False,some tests have no assertions
thefuck_28,test_logs.py,True,test_logs_DEEPSEEK_TESTCUT.py,True,True,71,91,20,True,,TESTCUT,False,some tests aren't actually verifying behavior (verifies None only)
thefuck_29,test_logs.py,True,test_logs_DEEPSEEK_TESTCUT.py,True,True,71,88,17,True,,TESTCUT,True,
thefuck_30,test_logs.py,True,test_logs_DEEPSEEK_TESTCUT.py,True,True,74,96,22,True,,TESTCUT,False,no assertions
thefuck_31,test_logs.py,True,test_logs_DEEPSEEK_TESTCUT.py,True,True,81,98,17,True,,TESTCUT,False,no assertions
tqdm_2,tests_tqdm.py,True,tests_tqdm_DEEPSEEK_TESTCUT.py,True,True,76,77,1,True,,TESTCUT,True,
tqdm_8,tests_tqdm.py,True,tests_tqdm_DEEPSEEK_TESTCUT.py,True,True,63,65,2,True,,TESTCUT,True,
ansible_5,test_errors.py,True,test_errors_DEEPSEEK_TESTONLY.py,True,True,52,57,5,True,,TESTONLY,True,
ansible_7,test_errors.py,True,test_errors_DEEPSEEK_TESTONLY.py,True,True,52,53,1,True,,TESTONLY,True,
ansible_9,test_errors.py,True,test_errors_DEEPSEEK_TESTONLY.py,True,True,52,57,5,True,,TESTONLY,False,incorrect expected behavior
ansible_10,test_errors.py,True,test_errors_DEEPSEEK_TESTONLY.py,True,True,52,61,9,True,,TESTONLY,True,
ansible_12,test_errors.py,True,test_errors_DEEPSEEK_TESTONLY.py,True,True,52,54,2,True,,TESTONLY,True,
ansible_13,test_errors.py,True,test_errors_DEEPSEEK_TESTONLY.py,True,True,52,59,7,True,,TESTONLY,False,incorrect expected behavior
ansible_14,test_errors.py,True,test_errors_DEEPSEEK_TESTONLY.py,True,True,52,54,2,True,,TESTONLY,False,incorrect expected behavior
ansible_16,test_errors.py,True,test_errors_DEEPSEEK_TESTONLY.py,True,True,52,64,12,True,,TESTONLY,True,
ansible_17,test_errors.py,True,test_errors_DEEPSEEK_TESTONLY.py,True,True,52,59,7,True,,TESTONLY,True,
ansible_18,test_errors.py,True,test_errors_DEEPSEEK_TESTONLY.py,True,True,52,54,2,True,,TESTONLY,True,
cookiecutter_1,test_generate_file.py,True,test_generate_file_DEEPSEEK_TESTONLY.py,True,True,44,46,2,True,,TESTONLY,True,
cookiecutter_4,test_generate_file.py,True,test_generate_file_DEEPSEEK_TESTONLY.py,True,True,42,44,2,True,,TESTONLY,False,no assertions
fastapi_1,test_jsonable_encoder.py,True,test_jsonable_encoder_DEEPSEEK_TESTONLY.py,True,True,44,45,1,True,,TESTONLY,False,incorrect expected behavior
fastapi_3,test_jsonable_encoder.py,True,test_jsonable_encoder_DEEPSEEK_TESTONLY.py,True,True,44,45,1,True,,TESTONLY,True,
fastapi_4,test_jsonable_encoder.py,True,test_jsonable_encoder_DEEPSEEK_TESTONLY.py,True,True,43,45,2,True,,TESTONLY,True,
fastapi_5,test_jsonable_encoder.py,True,test_jsonable_encoder_DEEPSEEK_TESTONLY.py,True,True,43,44,1,True,,TESTONLY,True,
fastapi_6,test_jsonable_encoder.py,True,test_jsonable_encoder_DEEPSEEK_TESTONLY.py,True,True,43,44,1,True,,TESTONLY,True,
fastapi_7,test_jsonable_encoder.py,True,test_jsonable_encoder_DEEPSEEK_TESTONLY.py,True,True,43,44,1,True,,TESTONLY,True,
fastapi_9,test_jsonable_encoder.py,True,test_jsonable_encoder_DEEPSEEK_TESTONLY.py,True,True,44,46,2,True,,TESTONLY,False,incorrect expected behavior
fastapi_14,test_jsonable_encoder.py,True,test_jsonable_encoder_DEEPSEEK_TESTONLY.py,True,True,50,52,2,True,,TESTONLY,True,
fastapi_15,test_jsonable_encoder.py,True,test_jsonable_encoder_DEEPSEEK_TESTONLY.py,True,True,50,53,3,True,,TESTONLY,True,
keras_1,test_loss_masking.py,True,test_loss_masking_DEEPSEEK_TESTONLY.py,True,True,7,10,3,True,,TESTONLY,False,last test has no assertions
keras_3,test_loss_masking.py,True,test_loss_masking_DEEPSEEK_TESTONLY.py,True,True,7,10,3,True,,TESTONLY,False,last test has no assertions
matplotlib_1,test_container.py,True,test_container_DEEPSEEK_TESTONLY.py,True,True,15,16,1,True,,TESTONLY,False,duplicate tests
matplotlib_2,test_container.py,True,test_container_DEEPSEEK_TESTONLY.py,True,True,15,16,1,True,,TESTONLY,True,
matplotlib_21,test_container.py,True,test_container_DEEPSEEK_TESTONLY.py,True,True,15,16,1,True,,TESTONLY,True,
pysnooper_1,test_pysnooper.py,True,test_pysnooper_DEEPSEEK_TESTONLY.py,True,True,58,60,2,True,,TESTONLY,True,
sanic_2,test_middleware.py,True,test_middleware_DEEPSEEK_TESTONLY.py,True,True,25,28,3,True,,TESTONLY,True,
sanic_4,test_middleware.py,True,test_middleware_DEEPSEEK_TESTONLY.py,True,True,25,28,3,True,,TESTONLY,True,
scrapy_24,test_command_fetch.py,True,test_command_fetch_DEEPSEEK_TESTONLY.py,True,True,31,32,1,True,,TESTONLY,True,
scrapy_25,test_command_fetch.py,True,test_command_fetch_DEEPSEEK_TESTONLY.py,True,True,31,32,1,True,,TESTONLY,True,
scrapy_26,test_command_fetch.py,True,test_command_fetch_DEEPSEEK_TESTONLY.py,True,True,31,32,1,True,,TESTONLY,True,
scrapy_27,test_command_fetch.py,True,test_command_fetch_DEEPSEEK_TESTONLY.py,True,True,31,32,1,True,,TESTONLY,True,
scrapy_28,test_command_fetch.py,True,test_command_fetch_DEEPSEEK_TESTONLY.py,True,True,31,32,1,True,,TESTONLY,True,
scrapy_30,test_command_fetch.py,True,test_command_fetch_DEEPSEEK_TESTONLY.py,True,True,31,34,3,True,,TESTONLY,True,
scrapy_31,test_command_fetch.py,True,test_command_fetch_DEEPSEEK_TESTONLY.py,True,True,31,34,3,True,,TESTONLY,True,
scrapy_32,test_command_fetch.py,True,test_command_fetch_DEEPSEEK_TESTONLY.py,True,True,31,33,2,True,,TESTONLY,True,
scrapy_36,test_command_fetch.py,True,test_command_fetch_DEEPSEEK_TESTONLY.py,True,True,31,32,1,True,,TESTONLY,True,
scrapy_38,test_command_fetch.py,True,test_command_fetch_DEEPSEEK_TESTONLY.py,True,True,32,35,3,True,,TESTONLY,True,
scrapy_39,test_command_fetch.py,True,test_command_fetch_DEEPSEEK_TESTONLY.py,True,True,33,34,1,True,,TESTONLY,False,uses undefined variable (err)
scrapy_40,test_command_fetch.py,True,test_command_fetch_DEEPSEEK_TESTONLY.py,True,True,32,33,1,True,,TESTONLY,True,
thefuck_1,test_logs.py,True,test_logs_DEEPSEEK_TESTONLY.py,True,True,45,46,1,True,,TESTONLY,True,
thefuck_13,test_logs.py,True,test_logs_DEEPSEEK_TESTONLY.py,True,True,41,42,1,True,,TESTONLY,True,
thefuck_19,test_logs.py,True,test_logs_DEEPSEEK_TESTONLY.py,True,True,42,43,1,True,,TESTONLY,False,doesn't verify behavior
thefuck_21,test_logs.py,True,test_logs_DEEPSEEK_TESTONLY.py,True,True,44,45,1,True,,TESTONLY,True,
thefuck_22,test_logs.py,True,test_logs_DEEPSEEK_TESTONLY.py,True,True,46,51,5,True,,TESTONLY,True,
thefuck_23,test_logs.py,True,test_logs_DEEPSEEK_TESTONLY.py,True,True,46,51,5,True,,TESTONLY,False,last test has no assertions
thefuck_24,test_logs.py,True,test_logs_DEEPSEEK_TESTONLY.py,True,True,71,76,5,True,,TESTONLY,True,
thefuck_25,test_logs.py,True,test_logs_DEEPSEEK_TESTONLY.py,True,True,71,76,5,True,,TESTONLY,True,
thefuck_28,test_logs.py,True,test_logs_DEEPSEEK_TESTONLY.py,True,True,71,75,4,True,,TESTONLY,True,
thefuck_29,test_logs.py,True,test_logs_DEEPSEEK_TESTONLY.py,True,True,71,76,5,True,,TESTONLY,True,
thefuck_30,test_logs.py,True,test_logs_DEEPSEEK_TESTONLY.py,True,True,74,83,9,True,,TESTONLY,False,last two tests have no assertions
thefuck_32,test_logs.py,True,test_logs_DEEPSEEK_TESTONLY.py,True,True,74,87,13,True,,TESTONLY,False,last test has no assertions
tqdm_8,tests_tqdm.py,True,tests_tqdm_DEEPSEEK_TESTONLY.py,True,True,63,91,28,True,,TESTONLY,True,
youtubedl_9,test_age_restriction.py,True,test_age_restriction_DEEPSEEK_TESTONLY.py,True,True,29,30,1,True,,TESTONLY,True,
ansible_3,test_errors.py,True,test_errors_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,52,61,9,True,,STATEMENTCOMPLETE,True,
ansible_5,test_errors.py,True,test_errors_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,52,60,8,True,,STATEMENTCOMPLETE,True,
ansible_8,test_errors.py,True,test_errors_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,52,57,5,True,,STATEMENTCOMPLETE,True,
ansible_15,test_errors.py,True,test_errors_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,52,55,3,True,,STATEMENTCOMPLETE,True,
black_6,test_black.py,True,test_black_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,79,90,11,True,,STATEMENTCOMPLETE,True,
black_7,test_black.py,True,test_black_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,79,90,11,True,,STATEMENTCOMPLETE,False,first two tests seem to be duplicates and just placeholders
black_22,test_black.py,True,test_black_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,31,87,56,True,,STATEMENTCOMPLETE,True,
cookiecutter_3,test_generate_file.py,True,test_generate_file_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,41,42,1,True,,STATEMENTCOMPLETE,True,
cookiecutter_4,test_generate_file.py,True,test_generate_file_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,42,48,6,True,,STATEMENTCOMPLETE,True,
fastapi_1,test_jsonable_encoder.py,True,test_jsonable_encoder_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,44,45,1,True,,STATEMENTCOMPLETE,True,
fastapi_3,test_jsonable_encoder.py,True,test_jsonable_encoder_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,44,46,2,True,,STATEMENTCOMPLETE,True,
fastapi_4,test_jsonable_encoder.py,True,test_jsonable_encoder_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,43,45,2,True,,STATEMENTCOMPLETE,True,
fastapi_6,test_jsonable_encoder.py,True,test_jsonable_encoder_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,43,44,1,True,,STATEMENTCOMPLETE,True,
fastapi_7,test_jsonable_encoder.py,True,test_jsonable_encoder_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,43,44,1,True,,STATEMENTCOMPLETE,True,
fastapi_14,test_jsonable_encoder.py,True,test_jsonable_encoder_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,50,52,2,True,,STATEMENTCOMPLETE,False,bad assertions since tests don't verify expected behavior 
matplotlib_21,test_container.py,True,test_container_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,15,16,1,True,,STATEMENTCOMPLETE,True,
sanic_3,test_middleware.py,True,test_middleware_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,25,26,1,True,,STATEMENTCOMPLETE,False,no assertions
sanic_4,test_middleware.py,True,test_middleware_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,25,26,1,True,,STATEMENTCOMPLETE,True,
scrapy_25,test_command_fetch.py,True,test_command_fetch_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,31,32,1,True,,STATEMENTCOMPLETE,False,first two tests are duplicates
scrapy_26,test_command_fetch.py,True,test_command_fetch_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,31,32,1,True,,STATEMENTCOMPLETE,True,
scrapy_27,test_command_fetch.py,True,test_command_fetch_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,31,32,1,True,,STATEMENTCOMPLETE,True,
scrapy_29,test_command_fetch.py,True,test_command_fetch_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,31,32,1,True,,STATEMENTCOMPLETE,False,test_no_arguments is unreliable because it has no assertion if no no exception rises
scrapy_38,test_command_fetch.py,True,test_command_fetch_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,32,34,2,True,,STATEMENTCOMPLETE,True,
thefuck_1,test_logs.py,True,test_logs_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,45,48,3,True,,STATEMENTCOMPLETE,True,
thefuck_2,test_logs.py,True,test_logs_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,45,48,3,True,,STATEMENTCOMPLETE,True,
thefuck_23,test_logs.py,True,test_logs_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,46,54,8,True,,STATEMENTCOMPLETE,False,two tests have no assertions
thefuck_24,test_logs.py,True,test_logs_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,71,92,21,True,,STATEMENTCOMPLETE,False,doesn't verify behavior
thefuck_25,test_logs.py,True,test_logs_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,71,96,25,True,,STATEMENTCOMPLETE,False,doesn't verify behavior
thefuck_27,test_logs.py,True,test_logs_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,71,90,19,True,,STATEMENTCOMPLETE,False,no assertions
thefuck_28,test_logs.py,True,test_logs_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,71,87,16,True,,STATEMENTCOMPLETE,True,
thefuck_29,test_logs.py,True,test_logs_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,71,92,21,True,,STATEMENTCOMPLETE,True,
thefuck_30,test_logs.py,True,test_logs_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,74,85,11,True,,STATEMENTCOMPLETE,True,
thefuck_31,test_logs.py,True,test_logs_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,81,88,7,True,,STATEMENTCOMPLETE,False,doesn't verify behavior
thefuck_32,test_logs.py,True,test_logs_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,74,79,5,True,,STATEMENTCOMPLETE,True,
youtubedl_1,test_age_restriction.py,True,test_age_restriction_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,28,31,3,True,,STATEMENTCOMPLETE,True,
youtubedl_3,test_age_restriction.py,True,test_age_restriction_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,28,31,3,True,,STATEMENTCOMPLETE,True,
youtubedl_5,test_age_restriction.py,True,test_age_restriction_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,29,30,1,True,,STATEMENTCOMPLETE,True,
youtubedl_7,test_age_restriction.py,True,test_age_restriction_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,29,31,2,True,,STATEMENTCOMPLETE,True,
youtubedl_11,test_age_restriction.py,True,test_age_restriction_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,27,28,1,True,,STATEMENTCOMPLETE,True,
youtubedl_14,test_age_restriction.py,True,test_age_restriction_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,27,28,1,True,,STATEMENTCOMPLETE,True,
youtubedl_17,test_age_restriction.py,True,test_age_restriction_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,28,30,2,True,,STATEMENTCOMPLETE,True,
youtubedl_18,test_age_restriction.py,True,test_age_restriction_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,28,30,2,True,,STATEMENTCOMPLETE,True,
youtubedl_19,test_age_restriction.py,True,test_age_restriction_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,28,31,3,True,,STATEMENTCOMPLETE,True,
youtubedl_22,test_age_restriction.py,True,test_age_restriction_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,28,31,3,True,,STATEMENTCOMPLETE,True,
youtubedl_27,test_age_restriction.py,True,test_age_restriction_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,29,31,2,True,,STATEMENTCOMPLETE,False,the last test seems unreliable because it tests os instead of Youtubedl functions. 
youtubedl_28,test_age_restriction.py,True,test_age_restriction_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,29,31,2,True,,STATEMENTCOMPLETE,True,
youtubedl_31,test_age_restriction.py,True,test_age_restriction_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,29,30,1,True,,STATEMENTCOMPLETE,False,first test has no assertions
youtubedl_36,test_age_restriction.py,True,test_age_restriction_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,28,31,3,True,,STATEMENTCOMPLETE,True,
youtubedl_37,test_age_restriction.py,True,test_age_restriction_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,27,28,1,True,,STATEMENTCOMPLETE,True,
youtubedl_40,test_age_restriction.py,True,test_age_restriction_DEEPSEEK_STATEMENTCOMPLETE.py,True,True,26,29,3,True,,STATEMENTCOMPLETE,True,
