program_name,usable,llm_test_file,builds,passes,coverage_before,coverage_after,coverage_delta,kept,discard_reason
luigi_28,True,,,,51.0,,,,
luigi_29,True,,,,51.0,,,,
luigi_30,True,,,,51.0,,,,
luigi_31,True,,,,51.0,,,,
luigi_32,True,,,,51.0,,,,
luigi_33,True,,,,51.0,,,,
markup_1,True,,,,100.0,,,,
markup_2,True,,,,100.0,,,,
matplotlib_1,False,,,,,,,,
matplotlib_2,False,,,,,,,,
matplotlib_3,False,,,,,,,,
matplotlib_4,False,,,,,,,,
matplotlib_5,False,,,,,,,,
matplotlib_6,False,,,,,,,,
matplotlib_7,False,,,,,,,,
matplotlib_8,False,,,,,,,,
matplotlib_9,False,,,,,,,,
matplotlib_10,False,,,,,,,,
matplotlib_11,False,,,,,,,,
matplotlib_12,False,,,,,,,,
matplotlib_13,False,,,,,,,,
matplotlib_14,False,,,,,,,,
matplotlib_15,False,,,,,,,,
matplotlib_16,False,,,,,,,,
matplotlib_17,False,,,,,,,,
matplotlib_18,False,,,,,,,,
matplotlib_19,False,,,,,,,,
matplotlib_20,False,,,,,,,,
matplotlib_21,False,,,,,,,,
matplotlib_22,False,,,,,,,,
matplotlib_23,False,,,,,,,,
matplotlib_24,False,,,,,,,,
matplotlib_25,False,,,,,,,,
matplotlib_26,False,,,,,,,,
matplotlib_27,False,,,,,,,,
matplotlib_28,False,,,,,,,,
matplotlib_29,False,,,,,,,,
matplotlib_30,False,,,,,,,,
middle_1,True,,,,96.0,,,,
middle_2,True,,,,96.0,,,,
pandas_1,False,,,,,,,,
pandas_2,False,,,,,,,,
pandas_3,False,,,,,,,,
pandas_4,False,,,,,,,,
pandas_5,False,,,,,,,,
pandas_6,False,,,,,,,,
pandas_7,False,,,,,,,,
pandas_8,False,,,,,,,,
pandas_9,False,,,,,,,,
pandas_10,False,,,,,,,,
pandas_11,False,,,,,,,,
pandas_12,False,,,,,,,,
pandas_13,False,,,,,,,,
pandas_14,False,,,,,,,,
pandas_15,False,,,,,,,,
pandas_16,False,,,,,,,,
pandas_17,False,,,,,,,,
pandas_18,False,,,,,,,,
pandas_19,False,,,,,,,,
pandas_20,False,,,,,,,,
pandas_21,False,,,,,,,,
pandas_22,False,,,,,,,,
pandas_23,False,,,,,,,,
pandas_24,False,,,,,,,,
pandas_25,False,,,,,,,,
pandas_26,False,,,,,,,,
pandas_27,False,,,,,,,,
pandas_28,False,,,,,,,,
pandas_29,False,,,,,,,,
pandas_30,False,,,,,,,,
pandas_31,False,,,,,,,,
pandas_32,False,,,,,,,,
pandas_33,False,,,,,,,,
pandas_34,False,,,,,,,,
pandas_35,False,,,,,,,,
pandas_36,False,,,,,,,,
pandas_37,False,,,,,,,,
pandas_38,False,,,,,,,,
pandas_39,False,,,,,,,,
pandas_40,False,,,,,,,,
pandas_41,False,,,,,,,,
pandas_42,False,,,,,,,,
pandas_43,False,,,,,,,,
pandas_44,False,,,,,,,,
pandas_45,False,,,,,,,,
pandas_46,False,,,,,,,,
pandas_47,False,,,,,,,,
pandas_48,False,,,,,,,,
pandas_49,False,,,,,,,,
pandas_50,False,,,,,,,,
pandas_51,False,,,,,,,,
pandas_52,False,,,,,,,,
pandas_53,False,,,,,,,,
pandas_54,False,,,,,,,,
pandas_55,False,,,,,,,,
pandas_56,False,,,,,,,,
pandas_57,False,,,,,,,,
pandas_58,False,,,,,,,,
pandas_59,False,,,,,,,,
pandas_60,False,,,,,,,,
pandas_61,False,,,,,,,,
pandas_62,False,,,,,,,,
pandas_63,False,,,,,,,,
pandas_64,False,,,,,,,,
pandas_65,False,,,,,,,,
pandas_66,False,,,,,,,,
pandas_67,False,,,,,,,,
pandas_68,False,,,,,,,,
pandas_69,False,,,,,,,,
pandas_70,False,,,,,,,,
pandas_71,False,,,,,,,,
pandas_72,False,,,,,,,,
pandas_73,False,,,,,,,,
pandas_74,False,,,,,,,,
pandas_75,False,,,,,,,,
pandas_76,False,,,,,,,,
pandas_77,False,,,,,,,,
pandas_78,False,,,,,,,,
pandas_79,False,,,,,,,,
pandas_80,False,,,,,,,,
pandas_81,False,,,,,,,,
pandas_82,False,,,,,,,,
pandas_83,False,,,,,,,,
pandas_84,False,,,,,,,,
pandas_85,False,,,,,,,,
pandas_86,False,,,,,,,,
pandas_87,False,,,,,,,,
pandas_88,False,,,,,,,,
pandas_89,False,,,,,,,,
pandas_90,False,,,,,,,,
pandas_91,False,,,,,,,,
pandas_92,False,,,,,,,,
pandas_93,False,,,,,,,,
pandas_94,False,,,,,,,,
pandas_95,False,,,,,,,,
pandas_96,False,,,,,,,,
pandas_97,False,,,,,,,,
pandas_98,False,,,,,,,,
pandas_99,False,,,,,,,,
pandas_100,False,,,,,,,,
pandas_101,False,,,,,,,,
pandas_102,False,,,,,,,,
pandas_103,False,,,,,,,,
pandas_104,False,,,,,,,,
pandas_105,False,,,,,,,,
pandas_106,False,,,,,,,,
pandas_107,False,,,,,,,,
pandas_108,False,,,,,,,,
pandas_109,False,,,,,,,,
pandas_110,False,,,,,,,,
pandas_111,False,,,,,,,,
pandas_112,False,,,,,,,,
pandas_113,False,,,,,,,,
pandas_114,False,,,,,,,,
pandas_115,False,,,,,,,,
pandas_116,False,,,,,,,,
pandas_117,False,,,,,,,,
pandas_118,False,,,,,,,,
pandas_119,False,,,,,,,,
pandas_120,False,,,,,,,,
pandas_121,False,,,,,,,,
pandas_122,False,,,,,,,,
pandas_123,False,,,,,,,,
pandas_124,False,,,,,,,,
pandas_125,False,,,,,,,,
pandas_126,False,,,,,,,,
pandas_127,False,,,,,,,,
pandas_128,False,,,,,,,,
pandas_129,False,,,,,,,,
pandas_130,False,,,,,,,,
pandas_131,False,,,,,,,,
pandas_132,False,,,,,,,,
pandas_133,False,,,,,,,,
pandas_134,False,,,,,,,,
pandas_135,False,,,,,,,,
pandas_136,False,,,,,,,,
pandas_137,False,,,,,,,,
pandas_138,False,,,,,,,,
pandas_139,False,,,,,,,,
pandas_140,False,,,,,,,,
pandas_141,False,,,,,,,,
pandas_142,False,,,,,,,,
pandas_143,False,,,,,,,,
pandas_144,False,,,,,,,,
pandas_145,False,,,,,,,,
pandas_146,False,,,,,,,,
pandas_147,False,,,,,,,,
pandas_148,False,,,,,,,,
pandas_149,False,,,,,,,,
pandas_150,False,,,,,,,,
pandas_151,False,,,,,,,,
pandas_152,False,,,,,,,,
pandas_153,False,,,,,,,,
pandas_154,False,,,,,,,,
pandas_155,False,,,,,,,,
pandas_156,False,,,,,,,,
pandas_157,False,,,,,,,,
pandas_158,False,,,,,,,,
pandas_159,False,,,,,,,,
pandas_160,False,,,,,,,,
pandas_161,False,,,,,,,,
pandas_162,False,,,,,,,,
pandas_163,False,,,,,,,,
pandas_164,False,,,,,,,,
pandas_165,False,,,,,,,,
pandas_166,False,,,,,,,,
pandas_167,False,,,,,,,,
pandas_168,False,,,,,,,,
pandas_169,False,,,,,,,,
pysnooper_1,False,,,,,,,,
pysnooper_2,False,,,,,,,,
pysnooper_3,False,,,,,,,,
sanic_1,True,,,,27.0,,,,
sanic_2,True,,,,0.0,,,,
sanic_3,True,,,,0.0,,,,
sanic_4,True,,,,0.0,,,,
sanic_5,False,,,,,,,,
scrapy_1,True,,,,31.0,,,,
scrapy_2,True,,,,32.0,,,,
scrapy_3,True,,,,32.0,,,,
scrapy_4,False,,,,,,,,
scrapy_5,False,,,,,,,,
scrapy_6,False,,,,,,,,
scrapy_7,False,,,,,,,,
scrapy_8,False,,,,,,,,
scrapy_9,False,,,,,,,,
scrapy_10,False,,,,,,,,
scrapy_11,False,,,,,,,,
scrapy_12,False,,,,,,,,
scrapy_13,False,,,,,,,,
scrapy_14,False,,,,,,,,
scrapy_15,False,,,,,,,,
scrapy_16,False,,,,,,,,
scrapy_17,False,,,,,,,,
scrapy_18,False,,,,,,,,
scrapy_19,False,,,,,,,,
scrapy_20,False,,,,,,,,
scrapy_21,False,,,,,,,,
scrapy_22,False,,,,,,,,
scrapy_23,False,,,,,,,,
scrapy_24,False,,,,,,,,
scrapy_25,False,,,,,,,,
scrapy_26,False,,,,,,,,
scrapy_27,False,,,,,,,,
scrapy_28,False,,,,,,,,
scrapy_29,False,,,,,,,,
scrapy_30,False,,,,,,,,
scrapy_31,False,,,,,,,,
scrapy_32,False,,,,,,,,
scrapy_33,False,,,,,,,,
scrapy_34,False,,,,,,,,
scrapy_35,False,,,,,,,,
scrapy_36,True,,,,31.0,,,,
scrapy_37,True,,,,32.0,,,,
scrapy_38,False,,,,,,,,
scrapy_39,False,,,,,,,,
scrapy_40,False,,,,,,,,
spacy_1,False,,,,,,,,
spacy_2,False,,,,,,,,
spacy_3,False,,,,,,,,
spacy_4,False,,,,,,,,
spacy_5,False,,,,,,,,
spacy_6,False,,,,,,,,
spacy_7,False,,,,,,,,
spacy_8,False,,,,,,,,
spacy_9,False,,,,,,,,
spacy_10,False,,,,,,,,
thefuck_1,True,,,,45.0,,,,
thefuck_2,True,,,,45.0,,,,
thefuck_3,True,,,,42.0,,,,
thefuck_4,True,,,,42.0,,,,
thefuck_5,True,,,,42.0,,,,
thefuck_6,True,,,,42.0,,,,
thefuck_7,True,,,,43.0,,,,
thefuck_8,True,,,,42.0,,,,
thefuck_9,True,,,,42.0,,,,
thefuck_10,True,,,,42.0,,,,
thefuck_11,True,,,,42.0,,,,
thefuck_12,True,,,,41.0,,,,
thefuck_13,True,,,,41.0,,,,
thefuck_14,True,,,,42.0,,,,
thefuck_15,True,,,,42.0,,,,
thefuck_16,True,,,,42.0,,,,
thefuck_17,True,,,,42.0,,,,
thefuck_18,True,,,,41.0,,,,
thefuck_19,False,,,,,,,,
thefuck_20,False,,,,,,,,
thefuck_21,False,,,,,,,,
thefuck_22,False,,,,,,,,
thefuck_23,False,,,,,,,,
thefuck_24,False,,,,,,,,
thefuck_25,False,,,,,,,,
thefuck_26,False,,,,,,,,
thefuck_27,False,,,,,,,,
thefuck_28,False,,,,,,,,
thefuck_29,False,,,,,,,,
thefuck_30,False,,,,,,,,
thefuck_31,False,,,,,,,,
thefuck_32,False,,,,,,,,
tornado_1,True,,,,15.0,,,,
tornado_2,True,,,,15.0,,,,
tornado_3,True,,,,15.0,,,,
tornado_4,True,,,,15.0,,,,
tornado_5,False,,,,,,,,
tornado_6,False,,,,,,,,
tornado_7,False,,,,,,,,
tornado_8,False,,,,,,,,
tornado_9,False,,,,,,,,
tornado_10,False,,,,,,,,
tornado_11,False,,,,,,,,
tornado_12,False,,,,,,,,
tornado_13,False,,,,,,,,
tornado_14,True,,,,12.0,,,,
tornado_15,True,,,,12.0,,,,
tornado_16,True,,,,12.0,,,,
tqdm_1,True,,,,16.0,,,,
tqdm_2,True,,,,16.0,,,,
tqdm_3,True,,,,16.0,,,,
tqdm_4,True,,,,16.0,,,,
tqdm_5,True,,,,16.0,,,,
tqdm_6,True,,,,16.0,,,,
tqdm_7,True,,,,14.0,,,,
tqdm_8,True,,,,14.0,,,,
tqdm_9,False,,,,,,,,
youtubedl_1,True,,,,28.0,,,,
youtubedl_2,True,,,,28.0,,,,
youtubedl_3,True,,,,28.0,,,,
youtubedl_4,True,,,,29.0,,,,
youtubedl_5,True,,,,29.0,,,,
youtubedl_6,True,,,,29.0,,,,
youtubedl_7,True,,,,29.0,,,,
youtubedl_8,True,,,,29.0,,,,
youtubedl_9,True,,,,29.0,,,,
youtubedl_10,True,,,,30.0,,,,
youtubedl_11,True,,,,27.0,,,,
youtubedl_12,True,,,,28.0,,,,
youtubedl_13,True,,,,28.0,,,,
youtubedl_14,True,,,,27.0,,,,
youtubedl_15,True,,,,28.0,,,,
youtubedl_16,True,,,,28.0,,,,
youtubedl_17,True,,,,28.0,,,,
youtubedl_18,True,,,,28.0,,,,
youtubedl_19,True,,,,28.0,,,,
youtubedl_20,True,,,,28.0,,,,
youtubedl_21,True,,,,28.0,,,,
youtubedl_22,True,,,,28.0,,,,
youtubedl_23,True,,,,28.0,,,,
youtubedl_24,True,,,,29.0,,,,
youtubedl_25,True,,,,29.0,,,,
youtubedl_26,True,,,,29.0,,,,
youtubedl_27,True,,,,29.0,,,,
youtubedl_28,True,,,,29.0,,,,
youtubedl_29,True,,,,29.0,,,,
youtubedl_30,True,,,,29.0,,,,
youtubedl_31,True,,,,29.0,,,,
youtubedl_32,True,,,,29.0,,,,
youtubedl_33,True,,,,29.0,,,,
youtubedl_34,True,,,,29.0,,,,
youtubedl_35,True,,,,29.0,,,,
youtubedl_36,True,,,,28.0,,,,
youtubedl_37,True,,,,27.0,,,,
youtubedl_38,True,,,,27.0,,,,
youtubedl_39,True,,,,29.0,,,,
youtubedl_40,True,,,,26.0,,,,
youtubedl_41,True,,,,27.0,,,,
youtubedl_42,True,,,,26.0,,,,
youtubedl_43,True,,,,25.0,,,,
